No response,Entrepreneurial Engineering Co-op,Co-op (US Domestic),2,2020 - Spring,6 Month,Massachusetts-Boston,Boston,MA,United States,Intermediate to Advanced,,Engineering,Stipend,16320,16320,Full Time (32+ Hours Per Week),College of Engineering,View Targeted Programs,1/31/20 23:59,"Cover Letter,Resume",NUcareers,Northeastern University,Sherman Center for Engineering Entrepreneurship,,http://www.northeastern.edu/sherman/,,,
No response,Venture Capital Analyst,Co-op (US Domestic),2,2020 - Spring,6 Month,Massachusetts-Boston,Boston,MA,United States,Intermediate to Advanced,"
To Apply: If you are interested, please apply in NUcareers with your resume AND send an email to andre@glasswing.vc with your resume, a note about why you're excited about the opportunity to work in early stage venture to invest in tech startups. Applications are analyzed on a rolling basis, so apply early!

About Glasswing Ventures
Glasswing Ventures is an early-stage venture capital firm based in Boston that invests in high-potential early stage start-ups leveraging Artificial Intelligence and complementary emerging technologies primarily in the enterprise space. Founded by visionary partners with decades of combined experience in venture investing, Glasswing is a unique platform in the exceptional AI-enabled ecosystem in the East Coast, with 30+ exclusive world-renowned advisors ranging from AI luminaries, to Fortune 500 executives and leading entrepreneurs.
 
About the role
We are looking for two Co-Ops to work with us over the Spring. She/he will learn the role of a venture capitalist outside of the classroom, ranging from investing to marketing and operational activities. The Co-Op will be an integral part of Glasswing and will work directly with all the members of the team.
 
Key responsibilities
Source and screen potential investment opportunities
Conduct diligence to help vet potential investments
Identify of key people, inventors and researchers in emerging technologies within the East Coast
Research markets of interest within Glasswing's investment thesis
Support across Glasswing's marketing & community activities
Assist with Glasswing's internal special projects
 
Role requirements
The ideal candidate would have:
True passion for emerging technologies - especially artificial intelligence - startups and entrepreneurship;
Go getter attitude and a willingness to learn in a fast paced yet independent environment;
Effective project management and excellent time management skills;
Entrepreneurial and team-oriented spirit;
Previous experience in entrepreneurship, venture capital or management consulting would be a plus;
Strong understanding of the Boston and broader East Coast entrepreneurial ecosystem would be a plus
Experience with SQL and Python would be a plus. ",Analyst,Stipend,16000,,Full Time (32+ Hours Per Week),D'Amore-McKim School Business,View Targeted Programs,1/31/20 23:59,Resume,NUcareers,Glasswing Ventures,Glasswing Ventures,,http://glasswing.vc,,,
No response,Software Engineer,Co-op (US Domestic),1,2020 - Spring,6 Month,Massachusetts-Boston,Boston,MA,United States,Intermediate to Advanced,"
To Apply: If you are interested, please apply in NUcareers with your resume AND send an email to andre@glasswing.vc with your resume, a note about why you're excited about the opportunity to work in an early-stage venture to invest in tech startups. Applications are analyzed on a rolling basis, so apply early!

About Glasswing Ventures
Glasswing Ventures is an early-stage venture capital firm based in Boston that invests in high-potential early-stage start-ups leveraging Artificial Intelligence and complementary emerging technologies primarily in the enterprise space. Founded by visionary partners with decades of combined experience in venture investing, Glasswing is a unique platform in the exceptional AI-enabled ecosystem in the East Coast, with 30+ exclusive world-renowned advisors ranging from AI luminaries to Fortune 500 executives and leading entrepreneurs.
 
About the role
We are looking for one Software Engineer/Data Scientist Co-Op to work with us over the Spring. She/he will work across internal data projects that are core to Glasswing's activities. The Co-Op will be an integral part of Glasswing and will work directly with an Investment Associate and a Venture Partner who was responsible for developing leading, deep-learning-based AI products.
 
Key responsibilities
Collect, aggregate & clean data from disparate public and private databases;
Develop data models for both structured and unstructured data to continuously improve predictive performance;
Develop workflows that leverage the databases/data models to support investment and platform teams;
Develop user interfaces that provide access to the data and the predictive capabilities for different types of users.
Role requirements
The ideal candidate has:
True passion for emerging technologies - especially artificial intelligence, startups, and entrepreneurship;
A go-getter attitude, flexibility, and a willingness to learn in a fast-paced, creative, and independent environment;
Effective project management and excellent time management skills;
Entrepreneurial and team-oriented spirit;
Excellent verbal communication and writing skills;
Familiarity with scraping data from different sources;
Experience with ETL pipelines, Python, SQL, and NoSQL databases;
Knowledge of machine learning and data science algorithms and practices
Familiarity with basic ML/DL libraries such as Scikit-learn, TensorFlow, and Keras;
Familiarity with public-cloud-based deep learning tools, modeling pipelines, and databases would be a plus;
Familiarity with Javascript, CSS, HTML and frontend frameworks is a plus;
Interest in, and familiarity with, the latest development frameworks & SaaS platforms is a plus;
Previous experience in data science, data engineering, product management, entrepreneurship would be a plus. 
Coordinator Note:(CS-DASCI)",Data Analytics,Stipend,16000,,Full Time (32+ Hours Per Week),Coll of Computer & Info Sci,View Targeted Programs,1/31/20 23:59,Resume,NUcareers,Glasswing Ventures,Glasswing Ventures,,http://glasswing.vc,,,
No response,Activities & Advocacy Coordinator (BCIC),Co-op (US Domestic),1,2020 - Spring,6 Month,Massachusetts-Boston,Boston,MA,United States,Suited to All Levels,"ROSIE'S PLACE -A Sanctuary for Poor and Homeless Women in Boston
 
Activities and Advocacy Coordinator/Direct Service
Special Information about the job - Please see full job description below.
[x ] Special Information - $10,000 stipend for 6 month full time work
[x ] Essay (noted as a cover letter in the required documents section) and resume required (Instructions on how to proceed.)  

This position is part of the Boston Community Impact Co-ops (BCIC) (formerly Community Service Learning Program), which are explained below.  It requires a 1-2 page essay (cover letter) addressing the following: Why do you want this position?  What do you bring to this position?  What do you hope to gain from this position? (don't forget to put your name on the essay). 

Activities Coordinator/Direct Service
 
PROGRAM OVERVIEW
Rosie's Place mission is to support and empower poor and homeless women. The co-op student works with several departments to organize and carry out creative and fun activities for our guests. They also provide services directly to our guests in several different areas including the Dining Room, Food Pantry and Outreach Program and assist with administrative duties as needed.
 
RESPONSIBILITIES
Activities Coordinator - The co-op creates and carries out regularly scheduled recreational activities each week in our sitting room or dining room. They are responsible for planning and carrying out the activities as well as working with any volunteers who may be recruited to assist with them. Activities may include weekly bingo, playing song requests with our guests in the sitting room, doing games and arts and crafts with guests in other shelters and leading guest walking groups. 
Direct Service  Working in many different departments, the co-op gains valuable experience working directly with poor and homeless women. They may escort shoppers in the food pantry, help prepare and serve lunch, answer questions at the front desk and work in other areas as needed. 
Outreach - This program reaches out to poor women in the community in their homes, housing projects, public schools and on the streets. For example, co-op students meet weekly with a woman in the community to converse or do an activity together. They assist program directors with administrative tasks and research or special events. 
REQUIREMENTS
Strong communication and organizational skills, an outgoing personality, creativity, flexibility and prior volunteer experience are preferred. 

HOURS: Monday - Friday; 9am to 5pm 
A Criminal Record check is required for employment. 

This position has a $10,000  stipend for the 6 month period (this is about $11/hour)
 
 ***If you would like to read a student?s Reflection project  on working here, click the link and (scroll down to the company name)
 

 THIS POSITION IS A PART OF THE BCIC - BCIC MISSION STATEMENT
 
The Northeastern University BCIC (Boston Community Impact Co-ops) draws upon the strength of Northeastern as a large urban university and as a national and international center for the practice of a form of experiential learning called cooperative education. In establishing a deliberate link between service learning and career development, the BCIC compliments volunteer programs and curricula on campus in order to promote civic responsibility through career choice.
 
The BCIC was initiated by the Student Government Association and is funded through the University. For close to almost two decades, Northeastern University has generously supported the Boston Community Impact Co-ops as a way of expanding cooperative education opportunities, utilizing concurrent group reflection meetings and visits as well as supporting a connection between Northeastern and Boston-based community human service agencies and non-profit organizations.
 
The students in the BCIC work at 4 employers (AIDS Action Committee, Food Project, BMC - Pediatric Grow Clinic/Children?s Health Watch, and Rosie?s Place).  The program has three key components:
 
The employment of quality students to work as full-time staff members in targeted community-based agencies with the goals of meeting educational, public safety, environmental, and human needs of Boston neighborhoods and citizens.
 Provide students with quality supervision and work environments, which maximize student, professional, civic and personal development.
 Participation in monthly reflection seminars that are integrated into the 40-hour work week for both unstructured personal reflection and group discussions.
 
Concurrent Reflection is an integral part of the BCIC. Students who apply for the program hould understand that in addition to their assignment in a community-based agency, they are expected to participate in monthly reflection seminars.
 ",Social Work,Stipend,10000,10000,Full Time (32+ Hours Per Week),Coll of Soc Sci & Humanities,View Targeted Programs,1/31/20 23:59,"Cover Letter,Resume",NUcareers,Rosie's Place Inc,Rosie's Place Inc,,,,,
No response,Development and Communications Spring 2020 COOP,Co-op (US Domestic),1,2020 - Spring,4 Month,Global - Middle East & Northern Africa,Boston,MA,United States,Entry,"Title: COOP, New England International Donors

Overview: 
 
NEID is a vibrant community of engaged global philanthropists learning, giving, investing and partnering together to end poverty, protect the planet, and ensure peace and human rights for all. Through strategic networking, educational opportunities, and information sharing its members aim to spark donor action and collaboration. By coming together to share knowledge and experience, NEID members can become increasingly generous and committed philanthropists for global social change. Through NEID, members:
 
NEID hosts close to 40 events annually including panel discussions, a symposium, several Giving Circles and intimate gatherings. Through these events we feature major leaders in the field of international philanthropy and development. 

Position Summary:
 
Working closely with NEID staff, the COOP will provide ongoing administrative and programmatic support across the spectrum of NEID's operations, assisting the NEID team on overall social media outreach, events, and processes: including programming, research, writing, and fundraising. While a portion of the work will be administrative in nature, during the spring of 2020 NEID will be hosting a Gala for Boston's top donors, investors and philanthropists, a Symposium, Giving Circles, and 10 ? 15 other events on international philanthropy and international development (global health, education, refugee crisis, emergency relief, development, ocean health, human rights and security, etc.). The purpose of these gatherings is to help philanthropists be more informed and intentional about their giving and provide opportunities for them to network and learn from each other. The COOP will provide assistance and programmatic support across all of these events. 
 
Qualifications
Preparation, Knowledge, Previous Experience:
Bachelor's degree in progress required; 
Skills, Abilities, Competencies:
Previous experience with research, program evaluation, data entry, analysis, and reporting required; 
Previous experience using Salesforce, Statistical software, and/or other data management tools required
Very comfortable learning new technology required;
Excellent organizational and planning skills;
Able to take initiative and be resourceful; problem-solver;
Be eager to develop systems and processes that improve communication and relationship building among NEID members and between members and staff;
Demonstrated ability to handle multiple tasks, organize and manage projects with multiple components, and implement complex activities;
Excellent written and oral communication skills;
Strong computer skills utilizing Microsoft Office products including Salesforce, Access, Word, PowerPoint, Outlook and Excel, as well as Internet research and database management.  Some knowledge of Canva, Adobe CC (including InDesign), Buffer, Word Press and Wix; and
Be poised, welcoming, and articulate in interactions with other staff, members, and external stakeholders
Preferred Qualifications:
Have interest and familiarity with international philanthropy and international development;
Have some international experience;
Have strong organizational skills and excellent research and writing skills;
Have general computer skills, familiarity with Adobe Illustrator and other publishing programs and with social media (Twitter, Facebook) is a plus; and
Have willingness to complete administrative tasks for the office
 
To be considered for this role, please upload your Resume and Cover letter, with ""Spring 2020 COOP, NEID"" in subject line, to NUCareers by October 25th, 2019.                                                                
 
 ",Development and Communications,Stipend,3200,3200,Full Time (32+ Hours Per Week),Coll of Soc Sci & Humanities,View Targeted Programs,12/27/19 23:59,"Cover Letter,Resume",NUcareers,New England International Donors (NEID),New England International Donors (NEID),,neidonors.org,,,
No response,(GLOBAL) Intern Full Stack Development,Co-op (Global),1,2020 - Spring,6 Month,Global - Europe,München,n/a,Germany,Intermediate,"Location: Munich, Germany 

Students interested in applying to COE global positions must contact Sally Conant (s.conant@northeastern.edu). Once you have spoken with her about the position, your resume will be sent to global employers.

Application Process
You must apply online to be considered for the role https://proglove.breezy.hr/p/c80b7afe46c8-full-stack-development-intern-m-f-d.

THIS IS PROGLOVE
ProGlove is an industrial wearable startup, founded in 2014 by former IDEO an BMW employees based in Germany. ProGlove is backed by top American and European VCs and has won Intel's Make It Wearable Challenge. Our customers are Fortune 500 automotive, aerospace, trade and logistics market leaders, including BMW and Chrysler. After gaining significant traction in the German and European market we are expanding to the North American market.

MINDSET
We are looking for a Full Stack Development Intern for our Software Department, who is eager to learn and contribute in an agile Start-Up environment. You are detail oriented and self dependent? You like to work hands-on and you are passionate about the Internet of Things?

RESPONSIBILITIES
Taking part in the product development, building demo applications for our current hardware prototypes
Developing Full-Stack applications
Defining interfaces together with the embedded software development team
Integrating, testing, releasing and managing the infrastructure while maintaining focus on the customers' needs
QUALIFICATIONS 
Enrolled in or recent graduate of a computer science degree or an equivalent qualification
Experience in Backend and Frontend Development as well as Web Development
Experience in at least one programming language, experience in a scripting language is a plus
Business fluency in English, German knowledge is beneficial
WE LOVE:
We love the challenge, the uncertainty and to celebrate each other. We work in an agile environment, where we develop within a human-centered design process. Getting shit done is our motto.

WHAT WE OFFER
A highly motivated, experienced team with a common goal in mind
A very flexible working environment in which working is fun
The opportunity to gain relevant experience in setting up companies in the B2B sector
An experienced management team that is available to you at all times and at the same time gives you the responsibility to carry out your own tasks.
Company Lunches
Team Events
Free Fruit & Snacks
Compensation: 1700 Euro (approx 1800 USD) per month",Engineering,Stipend,1800,,Full Time (32+ Hours Per Week),College of Engineering,View Targeted Programs,1/31/20 23:59,Resume,NUcareers,ProGlove,ProGlove,Sally Conant,https://www.proglove.com/,,,
No response,(GLOBAL) Embedded Software Engineer Intern,Co-op (Global),1,2020 - Spring,6 Month,Global - Europe,München,n/a,Germany,Intermediate,"Location: Munich, Germany 

Students interested in applying to COE global positions must contact Sally Conant (s.conant@northeastern.edu). Once you have spoken with her about the position, your resume will be sent to global employers.

Application Process
You must apply online to be considered for the role https://proglove.breezy.hr/p/2e2e302e6397-embedded-software-engineering-intern-working-student-m-f-d.

THIS IS PROGLOVE
ProGlove is an industrial wearable startup, founded in 2014 by former IDEO an BMW employees based in Germany. ProGlove is backed by top American and European VCs and has won Intel's Make It Wearable Challenge. Our customers are Fortune 500 automotive, aerospace, trade and logistics market leaders, including BMW and Chrysler. After gaining significant traction in the German and European market we are expanding to the North American market.

MINDSET

We are looking for an Embedded Software Engineering Intern or Working Student (m/f/d) who is enthusiastic about developing cutting edge products for the Industry 4.0.

Do you enjoy building embedded applications? Do you want to work on embedded systems that thousands of workers love to use while learning new things?

Then ProGlove is the place to be!

RESPONSIBILITIES:

Work in a multi-disciplinary team to develop and deliver ProGlove's next generation of products
Build prototypes and features on an modern RTOS
Work with and contribute to open source embedded projects
Learn from experienced engineers in a quality-focused environment


QUALIFICATIONS:

Enrolled in Computer Science, Electrical Engineer or an equivalent course of study
Experience developing in Embedded C applications
Experience in working with Bluetooth Low Energy and RTOS, preferably ZephyrOS, is a plus
Business fluency in English, German knowledge is a plus
WE LOVE:
We love the challenge, the uncertainty and to celebrate each other. We work in an agile environment, where we develop within a human-centered design process. Getting shit done is our motto.

WHAT WE OFFER
A highly motivated, experienced team with a common goal in mind
A very flexible working environment in which working is fun
The opportunity to gain relevant experience in setting up companies in the B2B sector
An experienced management team that is available to you at all times and at the same time gives you the responsibility to carry out your own tasks.
Company Lunches
Team Events
Free Fruit & Snacks
Compensation: 1700 Euro (approx 1800 USD) per month",Engineering,Stipend,1800,,Full Time (32+ Hours Per Week),College of Engineering,View Targeted Programs,1/31/20 23:59,Resume,NUcareers,ProGlove,ProGlove,Sally Conant,https://www.proglove.com/,,,
No,(GLOBAL) Global Security Co-op,Co-op (Global),4,2020 - Spring,6 Month,Global - Europe,Tettnang,n/a,Germany,Suited to All Levels,"Location: Germany

Students interested in applying to COE global positions must contact Sally Conant (s.conant@northeastern.edu). Once you have contacted her, your resume will be sent to global employers.
 
You MUST Apply online: http://www.avira.com/en/company-careers. If you apply please notify Sally Conant (s.conant@northeastern.edu) with the position name/number.
Benefits: 1400 euro/month and approx. 700 euro for moving expenses.

Speak with Sally Conant about company/town. She recently visited and it's an excellent company/position!
Include in Your Application:
Cover letter
Proof of Enrollment or Transcript (can be downloaded from MyNEU)
Letter of recommendation
Your Benefits:
Monthly Stipend
Assistance in finding locating housing, costing around 250 - 350 euros/month
2 vacation days per month
Work with other interns from around the world
Example opportunity (this position is an example- you must apply online to see the current openings)
 
1. Intern: Windows Development. Profile C# (.Net)
As a Windows developer you won't just have one of the coolest computers in the company ? you'll also have access to the wonderful world of technology. We take full responsibility for our product and leave our own mark on it. We keep track of what users think of it (through weekly reading of user feedback) and plan our activities based on this. We adapt new technologies and are the pioneers in the area of Windows optimization, performance and privacy.

As part of your Windows development activities you will expand the functionality and establish the basis for next-generation features using prototypes.
Possible areas of responsibility
Software development in an agile software-development process
Producing new features, prototypes and feasibility studies
Analyzing and enhancements of speedup and optimization strategies
Windows system tune-up / optimization
Analysis of system- and applicationbehaviour
We offer always exciting and challenging projects in the area of Windows Optimization, Performance improvements of Windows systems, improve the privacy of a user, as well Windows Tools. We are open for ideas!

This can be just C# and WPF development. As an advanced development, there can be analysis of processes, threads, change tracking, hooking, Windows tweaks, Performance benchmarks, etc.
Your project gets select on your knowledge and preferences.
Your profile
Student of IT or similar course of study
Good German or English skills
Knowledge in object-oriented programming in C#
Experience in the development of UIs with WPF and MVVN
Deeper Windows experience, e.g.: Registry, Win32-API, WMI, process monitoring
System experience of Microsoft Windows advantageous
Strong analytical skills and able to think on your feet

If you are enthusiastic about broadening your technical expertise and have a desire to work in an environment that promotes creativity, research, innovation and fun, we would love to hear from you! Please apply directly via our career portal.

2. Intern - Windows Protection Applications
Would you like to actively help shape the conception, development, and implementation of software projects for Windows security software? Then come and assist our Avira Windows Team by sharing your knowledge and enthusiasm.
Objectives and responsibilities
Producing prototypes and feasibility studies
Automating process steps for quality assurance
Developing and enhancing assorted tools for the Avira Windows product line and development
Implementing tasks in an agile software-development process while maintaining high quality standards
Carrying out production planning to assist the development teams
Requirements
Student of applied or technical computer engineering
Experience in object-oriented programming in C# and C++
Knowledge of HTML, CSS, and JavaScript advantageous
Strong analytical skills and able to think on your feet
Good communicator and excellent team player
Good English skills
Ability to work independently
Benefits and perks:
New Work

Stylish building with roof terraces

Canteen and ChocaVira

Modern office concept

Learning & Development

Unlimited access to Udemy

Trainings & Conferences

Specialist Career

Health & Wellbeing

Gym and fitness courses

""JobRad"" bike leasing

Medical checkups

Events

Onboarding events

Monthly Employee Meetings

Summer & Christmas parties",Engineering,Stipend,1400,1400,Full Time (32+ Hours Per Week),College of Engineering,View Targeted Programs,1/23/20 23:59,Resume,NUcareers,Avira Holding GmbH,Avira GmbH & Co. KG,"Conant, Sally",https://www.avira.com/,,,
No,Greenhouse R&D Engineer,Co-op (US Domestic),1,2020 - Spring,6 Month,Massachusetts-Boston,Boston,MA,United States,Intermediate,"

Boston Microgreens is a modern urban agriculture startup based in South Boston. We provide high quality microgreens and specialty herbs to chefs and restaurants in the Greater Boston area. Founded by two Northeastern graduates, Microgreens combines traditional agricultural methods with modern growing technology to provide fresh ingredients to the best Chefs in Boston.
 
We are seeking a co-op with a background in electrical engineering, computer engineering and software design to develop and implement new technology in our growing operation. An engineer at Boston Microgreens will spend time in our indoor grow lab in South Boston developing hardware and software prototypes that maximize plant yields and optimize our workflow.
 
An ideal candidate is an energetic person who is comfortable working independently on research and prototyping tasks. It's ok if you don't have prior experience with agriculture -- we will spend at least 2 full crop cycles (about 1 month) showing you the ropes.
 
Tasks may include:
Contributing code to our in-house inventory software platform (Python, Django)
Exploring and implementing new sensors and automation technology
Conducting plant growth experiments and monitoring results
Managing inventory, from sowing seeds to supply and delivery runs
Constant ideation to refine operations and workflow
 
The position is deliberately open-ended, providing plenty of opportunities to shape the role around your interests and expertise in order to create the most rewarding experience possible. If things go well, a paid part-time position will be available to you post co-op.
 
A co-op with Boston Microgreens presents an opportunity to become part of a vibrant team of smart and passionate individuals and a unique local business.",Software Development,Stipend,1400,,Full Time (32+ Hours Per Week),Coll of Soc Sci & Humanities,View Targeted Programs,1/31/20 23:59,Resume,NUcareers,Boston Microgreens,Boston Microgreens,,www.microgreens.boston,,,
No response,(GLOBAL) Software Engineer for Combustion Cyberinfrastructure,Co-op (Global),1,2020 - Spring,6 Month,Global - Middle East & Northern Africa,Thuwal,n/a,Saudi Arabia,Suited to All Levels,"Location: Saudi Arabia 

Students interested in applying to COE global positions must contact Sally Conant (s.conant@northeastern.edu). Once you have spoken with her about the position, your resume will be sent to global employers.

Language: English fluency required 

Compensation: Monthly stipend of $1200, flights and housing are provided at no cost to the candidate

The KAUST Clean Combustion Research Center (CCRC) is seeking a candidate to aid in the development of a cyber-based infrastructure for combustion related data and modeling. The candidate will develop software tools and hardware infrastructure to drive technical advances including: set up cloud-based data storage, data-use software, data archiving, and data curation. The candidate will develop new software incorporating new uncertainty-analysis features, experimental templates, open-access formats, and open- source software for data mining and predictive simulation. The candidate will receive scientific guidance in developing the various aspects of the combustion cyber-infrastructure, but must have the appropriate skills, technical expertise, and prior experience to be successful.

40 hours/week

Website: https://ccrc.kaust.edu.sa/Pages/Home.aspx

Skills to be Gained by the End of Co-op:
Build a cloud-server database and tools of managing experimental and modeling combustion data.
Submit legacy data and develop new data submission software and forms
Develop software codes to integrate existing modeling and experimental tools
Develop new data models, in collaboration with the community, for transport properties, reaction classes, a broader range of experiments, computed quantum-chemistry results, k(T,P) data and calculations, and representations of their uncertainties.
Provide open-source tools for user and third-party development
Previous experience in developing user-friendly software tools based on simple and elegant codes
Programming in FORTRAN, C, C#, Python,Matlab, and other common languages
Ability to work in a team environment and to consider customer needs",Engineering,Stipend,1200,,Full Time (32+ Hours Per Week),College of Engineering,View Targeted Programs,1/31/20 23:59,"Cover Letter,Resume",NUcareers,King Abdullah University of Science and Technology,Clean Combustion Research Center (CCRC),Sally Conant,,,"Please note, this co-op opportunity is located in a high-risk destination as defined by the university's Policy on International Travel
more..",
